station_id,name,id,free_bikes,empty_slots,has_ebikes,ebikes,slots,renting,returning,latitude,longitude,timestamp
bfbe27bd89264f5821d6d0c7f0d2e765,des Ormeaux / de Grosbois,bfbe27bd89264f5821d6d0c7f0d2e765,6,9,True,0,15,1,1,45.605901731906485,-73.53436946868896,2023-08-31T14:04:02.578000Z
3dee6dd50b00ebe97be68a34fa0c1590,Parc Reine-Élizabeth (Penniston / Crawford),3dee6dd50b00ebe97be68a34fa0c1590,13,2,True,3,15,1,1,45.43914465255811,-73.59173655509949,2023-08-31T14:04:02.581000Z
9f8b5a5097e54b755691624a27a320a0,Parc de la Confédération (Fielding / West Hill),9f8b5a5097e54b755691624a27a320a0,17,5,True,1,23,1,1,45.471881993586074,-73.64002168178558,2023-08-31T14:04:02.594000Z
eeda0f4010f34ca2199f3585a76fef66,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),eeda0f4010f34ca2199f3585a76fef66,2,12,True,0,15,1,1,45.5534000891078,-73.66225451231003,2023-08-31T14:04:02.636000Z
1f96d87b02f5ddf8831c2d5f2473b0a8,Centre ÉPIC (St-Zotique / 40e avenue),1f96d87b02f5ddf8831c2d5f2473b0a8,13,7,True,8,23,1,1,45.57414703721992,-73.57462137937546,2023-08-31T14:04:02.699000Z
9575da078eee4b025a4c319fc2347b0d,Bélanger / des Galeries d'Anjou,9575da078eee4b025a4c319fc2347b0d,5,14,True,1,19,1,1,45.59722114932571,-73.56279015541077,2023-08-31T14:04:02.725000Z
8140fc3c3486abf913b0bd9211926f2b,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),8140fc3c3486abf913b0bd9211926f2b,18,16,True,3,34,1,1,45.55984236120471,-73.61544728279114,2023-08-31T14:04:02.728000Z
1461a02f003268b78a89d6ad0ac551dd,Rosemont / Viau,1461a02f003268b78a89d6ad0ac551dd,3,19,True,0,23,1,1,45.56833021674857,-73.56666326522826,2023-08-31T14:04:02.798000Z
cebdd81cd194840f09e6c07f1f7198a4,Parc Stoney-Point (St-Joseph / 47e avenue),cebdd81cd194840f09e6c07f1f7198a4,3,16,True,0,19,1,1,45.43656827071224,-73.70836973190308,2023-08-31T14:04:02.897000Z
0217b73736addb107209816f03000a18,Parc LaSalle (10e avenue / Victoria),0217b73736addb107209816f03000a18,5,14,True,0,19,1,1,45.43805550384184,-73.67273926734924,2023-08-31T14:04:02.898000Z
6866c654a6dbffa8186d1495a5ebea63,Elgar / de l'Île-des-Sœurs,6866c654a6dbffa8186d1495a5ebea63,6,6,True,0,14,1,1,45.45682318753668,-73.546804189682,2023-08-31T14:04:02.914000Z
ff85c138d884da9a4540f32b12086338,St-Jacques / des Seigneurs,ff85c138d884da9a4540f32b12086338,10,12,True,0,23,1,1,45.489185716082275,-73.57190027832984,2023-08-31T14:04:02.916000Z
2203b1d78848ffe20d0ed9d29d7dce2e,O'Brien / Poirier,2203b1d78848ffe20d0ed9d29d7dce2e,0,20,True,0,21,1,1,45.52252484113786,-73.69143962860107,2023-08-31T14:04:02.924000Z
f6b224af771e55d8ded0206097c994c0,Thimens / Alexis-Nihon,f6b224af771e55d8ded0206097c994c0,19,6,True,2,27,1,1,45.50897852206792,-73.69856357574463,2023-08-31T14:04:02.926000Z
ce9dbfc9842d2eff631cf5898df68683,Parc Van Horne (de la Peltrie / de Westbury),ce9dbfc9842d2eff631cf5898df68683,8,7,True,2,15,1,1,45.490494421832885,-73.63852232694626,2023-08-31T14:04:02.941000Z
389a103b106275a594cb7caafbf34e27,Hôpital Sacré-Coeur (Forbes),389a103b106275a594cb7caafbf34e27,4,9,True,2,13,1,1,45.531943590076395,-73.71360540390015,2023-08-31T14:04:02.942000Z
567cbde732fdd0fb13d545dd1b5e963c,Atwater / Greene,567cbde732fdd0fb13d545dd1b5e963c,10,14,True,1,25,1,1,45.480495143306044,-73.57782661914825,2023-08-31T14:04:02.953000Z
3557bec6e2c20690d2c912e713edad35,Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi),3557bec6e2c20690d2c912e713edad35,8,13,True,0,21,1,1,45.59398503487043,-73.63767206668854,2023-08-31T14:04:02.988000Z
