,station_id,name,id,empty_slots,has_ebikes,ebikes,slots,renting,returning,latitude,longitude,timestamp
656,fe77f880822f92a0a42808bd376e76b9,Prince-Arthur / St-Urbain,fe77f880822f92a0a42808bd376e76b9,8,True,0,27,1,1,45.51262123436571,-73.5737282037735,2023-08-28T14:41:43.607000Z
657,c56d7aec5e8af475aba51002bc54a3b0,Métro Mont-Royal (Berri / Mont-Royal),c56d7aec5e8af475aba51002bc54a3b0,4,True,1,39,1,1,45.52501371261418,-73.58220934867859,2023-08-28T14:41:43.731000Z
658,1f75c2bd5876aa50df724147f470784c,de Côme / Jean-Talon,1f75c2bd5876aa50df724147f470784c,4,True,0,15,1,1,45.58830296569168,-73.57783721439773,2023-08-28T14:41:43.869000Z
659,9f4aab51faaec85da4c4b0cf710d0dd3,Boyer / St-Joseph,9f4aab51faaec85da4c4b0cf710d0dd3,12,True,0,19,1,1,45.52937645940547,-73.5842552036047,2023-08-28T14:41:43.888000Z
660,4cc8089699bfd944c99c4fdef2e3c6ce,Robert-Bourassa / René-Lévesque,4cc8089699bfd944c99c4fdef2e3c6ce,0,True,13,33,1,1,45.502182909901194,-73.56825381517409,2023-08-28T14:41:43.935000Z
661,5428d05f2757392646e8e88bfd1efee3,Aylmer / Sherbrooke,5428d05f2757392646e8e88bfd1efee3,6,True,1,27,1,1,45.50629456823703,-73.57282698154448,2023-08-28T14:41:43.769000Z
662,4ddafa381fe8b555fe22b7fd44790eac,du Parc-La Fontaine / Roy,4ddafa381fe8b555fe22b7fd44790eac,3,True,0,19,1,1,45.5232203879173,-73.56916093829568,2023-08-28T14:41:43.555000Z
663,532c02142d78a5864381ff420e87c1c4,Coloniale / Duluth,532c02142d78a5864381ff420e87c1c4,1,True,3,15,1,1,45.51786873150825,-73.57842743396758,2023-08-28T14:41:44.011000Z
664,d81961450801e6c7a09c6bc9d4ab8eda,Casgrain / Maguire,d81961450801e6c7a09c6bc9d4ab8eda,2,True,7,15,1,1,45.52621764749851,-73.5957657695144,2023-08-28T14:41:43.494000Z
665,9d4986e34f616f66ce0cec7824020c9b,Robin / St-André,9d4986e34f616f66ce0cec7824020c9b,7,True,0,15,1,1,45.51820643310249,-73.56161856654579,2023-08-28T14:41:43.652000Z
666,ae30a29474104c658c44c295c318de07,Métro Fabre (Garnier / Jean-Talon),ae30a29474104c658c44c295c318de07,8,True,11,23,1,1,45.54604633902673,-73.60858295134676,2023-08-28T14:41:43.586000Z
667,374dc4fabb37db40b8c3d8751fe4d033,St-Hubert / Laurier,374dc4fabb37db40b8c3d8751fe4d033,4,True,1,19,1,1,45.52893724049854,-73.58786880970001,2023-08-28T14:41:43.730000Z
668,e61bdf615b9672bd815d52f210429d3c,Bennett / Ste-Catherine,e61bdf615b9672bd815d52f210429d3c,6,True,1,22,1,1,45.55315915057821,-73.53263273835182,2023-08-28T14:41:44.130000Z
669,832860f26bd8716c883200eb861e3ab7,de Mortagne / de Montarville,832860f26bd8716c883200eb861e3ab7,9,True,2,19,1,1,45.59147977279279,-73.43605846166611,2023-08-28T14:41:43.930000Z
670,00c84f03ca5970eaa144ed6867d1e2b9,du Fort Saint-Louis / de la Perrière,00c84f03ca5970eaa144ed6867d1e2b9,7,True,0,15,1,1,45.613330089384625,-73.45154017210007,2023-08-28T14:41:43.932000Z
671,58bc069d3319c0c45a22b8a5c0ee3e81,de Mortagne / Jean-Neveu,58bc069d3319c0c45a22b8a5c0ee3e81,15,True,0,19,1,1,45.56923752103412,-73.44949901103973,2023-08-28T14:41:43.927000Z
672,5678ed90f0af2bf60b25261bf16f6c70,Métro Papineau (Dorion / De Maisonneuve),5678ed90f0af2bf60b25261bf16f6c70,19,True,1,32,1,1,45.5238445756922,-73.55236601831166,2023-08-28T14:41:43.481000Z
673,1972d2e57a368e7c442b2019e5db5461,Lamarre / Lavallée,1972d2e57a368e7c442b2019e5db5461,10,True,1,19,1,1,45.53374770433337,-73.48599582910538,2023-08-28T14:41:43.753000Z
